TLD	Registration Price	Renewal Price	Minimum Term
.education	$17.99 per year	$21.99 per year	1 Year
.email	$2.99 per year	$19.99 per year	1 Year
.energy	$9.99 per year	$104.99 per year	1 Year
.engineer	$26.99 per year	$33.99 per year	1 Year
.engineering	$9.99 per year	$58.99 per year	1 Year
.enterprises	$13.99 per year	$33.99 per year	1 Year
.equipment	$21.99 per year	$21.99 per year	1 Year
.es	$19.99 per year	$21.99 per year	1 Year
.estate	$6.99 per year	$33.99 per year	1 Year
.eu	$29.99 per year	$29.99 per year	1 Year
.events	$13.99 per year	$33.99 per year	1 Year
.exchange	$9.99 per year	$33.99 per year	1 Year
.expert	$6.99 per year	$58.99 per year	1 Year
.exposed	$16.99 per year	$21.99 per year	1 Year
.express	$9.99 per year	$29.99 per year	1 Year
.fail	$26.99 per year	$33.99 per year	1 Year
.faith	$6.99 per year	$8.99 per year	1 Year
.family	$19.99 per year	$24.99 per year	1 Year
.fans	$74.99 per year	$74.99 per year	1 Year
.farm	$9.99 per year	$33.99 per year	1 Year
.fashion	$33.99 per year	$33.99 per year	1 Year
.feedback	$390.99 per year	$390.99 per year	1 Year
.fi	$45.99 per year	$45.99 per year	1 Year
.film	$89.99 per year	$89.99 per year	1 Year
.finance	$13.99 per year	$58.99 per year	1 Year
.financial	$13.99 per year	$58.99 per year	1 Year
.fish	$33.99 per year	$33.99 per year	1 Year
.fishing	$33.99 per year	$33.99 per year	1 Year
.fit	$33.99 per year	$33.99 per year	1 Year
.fitness	$6.99 per year	$33.99 per year	1 Year
.flights	$26.99 per year	$58.99 per year	1 Year
.florist	$33.99 per year	$33.99 per year	1 Year
.flowers	$119.99 per year	$119.99 per year	1 Year
.fm	$110.99 per year	$110.99 per year	1 Year
.football	$19.99 per year	$19.99 per year	1 Year
.forsale	$26.99 per year	$32.99 per year	1 Year
.foundation	$6.99 per year	$33.99 per year	1 Year
.fr	$10.99 per year	$10.99 per year	1 Year
.fun	$2.99 per year	$19.99 per year	1 Year
.fund	$5.99 per year	$58.99 per year	1 Year
.furniture	$58.99 per year	$58.99 per year	1 Year
.futbol	$10.99 per year	$14.99 per year	1 Year
.fyi	$6.99 per year	$21.99 per year	1 Year
.gallery	$21.99 per year	$21.99 per year	1 Year
.games	$15.99 per year	$24.99 per year	1 Year
.garden	$33.99 per year	$33.99 per year	1 Year
.gay	$33.99 per year	$36.99 per year	1 Year
.gift	$17.99 per year	$17.99 per year	1 Year
.gifts	$33.99 per year	$33.99 per year	1 Year
.gives	$26.99 per year	$33.99 per year	1 Year
.glass	$45.99 per year	$45.99 per year	1 Year
.global	$68.99 per year	$68.99 per year	1 Year
.gold	$6.99 per year	$99.99 per year	1 Year
.golf	$3.99 per year	$49.99 per year	1 Year
.graphics	$21.99 per year	$21.99 per year	1 Year
.gratis	$16.99 per year	$21.99 per year	1 Year
.green	$78.99 per year	$78.99 per year	1 Year
.gripe	$33.99 per year	$33.99 per year	1 Year
.group	$9.99 per year	$16.99 per year	1 Year
.gs	$49.99 per year	$49.99 per year	1 Year
.guide	$26.99 per year	$33.99 per year	1 Year
.guitars	$89.99 per year	$130.99 per year	1 Year
.guru	$2.99 per year	$33.99 per year	1 Year
.haus	$13.99 per year	$24.99 per year	1 Year
